 data_base |    table_schema    |              table_name               
 postgres  | pg_catalog         | pg_statistic_ext
 postgres  | pg_catalog         | pg_stat_progress_vacuum
 postgres  | pg_catalog         | pg_stat_replication
 postgres  | pg_catalog         | pg_stats
 postgres  | pg_catalog         | pg_stat_ssl
 postgres  | pg_catalog         | pg_stat_subscription
 postgres  | pg_catalog         | pg_stat_sys_indexes
 postgres  | pg_catalog         | pg_stat_sys_tables
 postgres  | pg_catalog         | pg_stat_user_functions
 postgres  | pg_catalog         | pg_stat_user_indexes
 postgres  | pg_catalog         | pg_stat_user_tables
 postgres  | pg_catalog         | pg_stat_wal_receiver
 postgres  | pg_catalog         | pg_stat_xact_all_tables
 postgres  | pg_catalog         | pg_stat_xact_sys_tables
 postgres  | pg_catalog         | pg_stat_xact_user_functions
 postgres  | pg_catalog         | pg_stat_xact_user_tables
 postgres  | pg_catalog         | pg_subscription
 postgres  | pg_catalog         | pg_subscription_rel
 postgres  | pg_catalog         | pg_tables
 postgres  | pg_catalog         | pg_tablespace
 postgres  | pg_catalog         | pg_timezone_abbrevs
 postgres  | pg_catalog         | pg_timezone_names
 postgres  | pg_catalog         | pg_transform
 postgres  | pg_catalog         | pg_trigger
 postgres  | pg_catalog         | pg_ts_config
 postgres  | pg_catalog         | pg_ts_config_map
 postgres  | pg_catalog         | pg_ts_dict
 postgres  | pg_catalog         | pg_ts_parser
 postgres  | pg_catalog         | pg_ts_template
 postgres  | pg_catalog         | pg_type
 postgres  | pg_catalog         | pg_user
 postgres  | pg_catalog         | pg_user_mapping
 postgres  | pg_catalog         | pg_user_mappings
 postgres  | pg_catalog         | pg_views
 postgres  | public             | pg_stat_statements
(189 rows)

 data_base |    table_schema    |              table_name               
-----------+--------------------+---------------------------------------
 pgwatch2  | admin              | all_distinct_dbname_metrics
 pgwatch2  | admin              | storage_schema_type
 pgwatch2  | information_schema | administrable_role_authorizations
 pgwatch2  | information_schema | applicable_roles
 pgwatch2  | information_schema | attributes
 pgwatch2  | information_schema | character_sets
 pgwatch2  | information_schema | check_constraint_routine_usage
 pgwatch2  | information_schema | check_constraints
 pgwatch2  | information_schema | collation_character_set_applicability
 pgwatch2  | information_schema | collations
